 || CREATION || Application started. || 2026-09-25T01:14:01.012Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:14:04.025Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:14:04.028Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:14:04.062Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:14:04.075Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:14:04.087Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:14:04.099Z 
 || CREATION || Application started. || 2026-09-25T01:14:20.315Z 
 || CREATION || Application started. || 2026-09-25T01:14:22.934Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:14:25.938Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:14:25.942Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:14:25.977Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-25T01:14:25.990Z 
 || INFO || Starting manifestInfo processing... || 2026-09-25T01:14:26.004Z 
 || INFO || Finished processing manifestInfo. || 2026-09-25T01:14:26.015Z 
 || CREATION || Application started. || 2026-09-25T01:14:27.911Z 
 || INFO || Starting CCN Watcher || 2026-09-25T01:14:30.922Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-25T01:14:30.929Z 
 || INFO || Connected to MongoDB || 2026-09-25T01:14:30.970Z 
